R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
14.74,-7.37,21.05,11.58,34.74,28.42,-3.16,91.58,8.42,0.38,0.95,28.42,71.58,35.11,9.57,19.15,12.77,0.0,8.51,14.89,72.34,27.66,0.57,0.94,63.83,36.17
16.48,-9.89,18.68,15.38,34.07,29.67,-4.4,89.01,10.98,0.37,0.91,25.27,74.72,33.33,8.6,20.43,11.83,0.0,10.75,15.05,73.11,26.88,0.54,0.93,62.36,37.63
15.96,-9.57,20.21,14.89,35.11,29.79,-6.38,91.5,8.51,0.39,0.94,26.6,73.41,34.74,9.47,20.0,10.53,0.0,8.42,16.84,72.63,27.37,0.55,0.95,64.21,35.79
16.16,-9.09,17.17,16.16,37.37,28.28,-6.06,89.89,10.1,0.4,0.99,24.24,75.75,37.37,8.08,20.2,11.11,0.0,9.09,14.14,74.74,25.25,0.59,0.99,65.65,34.34
17.35,-8.16,17.35,14.29,33.67,28.57,-3.06,88.78,11.23,0.4,0.98,26.54,73.47,34.74,8.42,21.05,11.58,0.0,9.47,14.74,73.68,26.32,0.58,0.95,64.21,35.79
14.74,-8.42,17.89,14.74,34.74,30.53,-4.21,89.48,10.53,0.37,0.95,24.21,75.8,34.38,9.38,20.83,11.46,0.0,7.29,16.67,71.88,28.13,0.58,0.96,64.59,35.42
15.46,-10.31,17.53,16.49,35.05,29.9,-4.12,87.63,12.37,0.38,0.97,22.68,77.32,35.42,9.38,20.83,10.42,0.0,9.38,14.58,75.01,25.0,0.59,0.96,65.63,34.38
14.0,-9.0,18.0,14.0,34.0,29.0,0.0,86.0,14.0,0.37,1.0,23.0,77.0,34.0,10.0,19.0,13.0,0.0,8.0,16.0,71.0,29.0,0.63,1.0,63.0,37.0
13.27,-7.14,15.31,16.33,33.67,30.61,-2.04,85.72,14.29,0.37,0.98,21.44,78.57,33.33,10.1,20.2,12.12,0.0,6.06,18.18,69.69,30.3,0.61,0.99,63.63,36.36
13.86,-8.91,14.85,17.82,35.64,28.71,-1.98,84.15,15.84,0.38,1.01,19.8,80.19,33.64,8.41,18.69,11.21,0.0,5.61,22.43,66.35,33.64,0.63,1.07,60.74,39.25
13.73,-5.88,11.76,23.53,33.33,25.49,-1.96,78.43,21.57,0.44,1.02,19.61,80.39,34.69,9.18,17.35,12.24,0.0,13.27,13.27,74.49,25.51,0.58,0.98,61.22,38.78
14.29,-6.12,19.39,13.27,33.67,28.57,-3.06,89.8,10.21,0.4,0.98,27.56,72.45,34.38,8.33,20.83,12.5,0.0,11.46,12.5,75.0,25.0,0.58,0.96,63.54,36.46
15.62,-8.33,19.79,12.5,32.29,31.25,-3.12,90.62,9.38,0.38,0.96,27.08,72.92,32.29,9.38,21.88,11.46,0.0,9.38,15.62,72.93,27.08,0.58,0.96,63.55,36.46
14.14,-8.08,17.17,15.15,33.33,29.29,-1.01,85.85,14.14,0.38,0.99,23.23,76.76,33.33,10.1,19.19,12.12,0.0,12.12,13.13,74.74,25.25,0.61,0.99,62.62,37.37
12.87,-6.93,18.81,12.87,32.67,28.71,0.99,86.13,13.86,0.38,1.01,24.75,75.24,31.73,9.62,18.27,12.5,0.0,8.65,19.23,68.27,31.73,0.63,1.04,59.62,40.38
11.65,-5.83,14.56,19.42,34.95,26.21,-0.97,81.54,18.45,0.41,1.03,20.38,79.61,36.36,9.09,18.18,12.12,0.0,12.12,12.12,75.75,24.24,0.62,0.99,63.63,36.36
13.83,-6.38,19.15,12.77,34.04,28.72,-2.13,89.36,10.64,0.37,0.94,26.6,73.4,35.16,9.89,19.78,13.19,0.0,9.89,12.09,74.72,25.28,0.57,0.91,64.83,35.17
15.22,-7.61,17.39,11.96,35.87,31.52,-4.35,92.39,7.61,0.34,0.92,25.0,75.0,34.38,9.38,20.83,11.46,0.0,10.42,13.54,75.01,25.0,0.58,0.96,64.59,35.42
15.0,-8.0,18.0,13.0,34.0,28.0,0.0,87.0,13.0,0.38,1.0,25.0,75.0,34.34,9.09,19.19,13.13,0.0,12.12,12.12,74.74,25.25,0.62,0.99,62.62,37.37
13.27,-7.14,19.39,12.24,34.69,28.57,-1.02,88.78,11.22,0.37,0.98,25.52,74.48,34.34,9.09,19.19,12.12,0.0,12.12,13.13,74.74,25.25,0.61,0.99,62.62,37.37
12.75,-6.86,18.63,12.75,36.27,30.39,-3.92,91.18,8.83,0.38,1.02,24.52,75.49,36.63,9.9,20.79,10.89,0.0,6.93,14.85,74.25,25.74,0.64,1.01,67.32,32.67
14.42,-7.69,14.42,14.42,36.54,25.96,1.92,83.65,16.34,0.37,1.04,21.15,78.84,34.86,7.34,17.43,11.93,0.0,11.93,16.51,71.56,28.44,0.67,1.09,59.63,40.37
10.38,-1.89,14.15,16.98,34.91,27.36,-1.89,84.91,15.09,0.42,1.06,22.64,77.36,35.58,9.62,18.27,11.54,0.0,10.58,14.42,74.05,25.96,0.64,1.04,63.47,36.54
14.14,-6.06,17.17,15.15,34.34,28.28,-3.03,87.87,12.12,0.4,0.99,25.25,74.74,35.05,9.28,19.59,11.34,0.0,12.37,12.37,76.29,23.71,0.59,0.97,63.92,36.08
14.43,-7.22,19.59,12.37,34.02,28.87,-2.06,89.69,10.31,0.38,0.97,26.8,73.2,33.67,10.2,18.37,12.24,0.0,13.27,12.24,75.51,24.48,0.59,0.98,62.24,37.75
14.29,-7.14,20.41,12.24,33.67,28.57,-2.04,89.8,10.2,0.39,0.98,27.56,72.44,34.02,9.28,19.59,12.37,0.0,9.28,15.46,72.17,27.83,0.59,0.97,62.89,37.11
14.0,-7.0,16.0,15.0,35.0,28.0,-1.0,86.0,14.0,0.38,1.0,23.0,77.0,34.65,8.91,18.81,11.88,0.0,9.9,15.84,72.27,27.72,0.62,1.01,62.37,37.62
13.27,-7.14,17.35,16.33,33.67,28.57,-2.04,85.72,14.29,0.39,0.98,23.48,76.53,34.38,9.38,19.79,12.5,0.0,9.38,14.58,72.93,27.08,0.59,0.96,63.55,36.46
14.74,-8.42,17.89,14.74,34.74,30.53,-4.21,89.48,10.53,0.37,0.95,24.21,75.8,34.38,9.38,20.83,11.46,0.0,9.38,14.58,73.97,26.04,0.58,0.96,64.59,35.42
14.85,-8.91,17.82,13.86,34.65,27.72,0.0,86.13,13.86,0.38,1.01,23.76,76.23,35.0,9.0,19.0,12.0,0.0,10.0,15.0,73.0,27.0,0.63,1.0,63.0,37.0
12.0,-8.0,18.0,15.0,36.0,28.0,-1.0,86.0,14.0,0.37,1.0,22.0,78.0,36.0,9.0,19.0,12.0,0.0,10.0,14.0,74.0,26.0,0.63,1.0,64.0,36.0
13.0,-8.0,18.0,14.0,35.0,29.0,-1.0,87.0,13.0,0.37,1.0,23.0,77.0,34.31,8.82,19.61,11.76,0.0,9.8,15.69,72.54,27.45,0.63,1.02,62.74,37.25
13.27,-7.14,17.35,16.33,35.71,29.59,-5.1,88.78,11.23,0.39,0.98,23.48,76.53,35.0,9.0,20.0,11.0,0.0,2.0,23.0,66.0,34.0,0.59,1.0,64.0,36.0
15.53,-8.74,10.68,22.33,33.98,27.18,-0.97,78.63,21.36,0.41,1.03,17.47,82.52,33.65,8.65,18.27,12.5,0.0,12.5,14.42,73.07,26.92,0.62,1.04,60.57,39.42
