R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
8.46,10.77,17.69,9.23,13.08,29.23,11.54,79.23,20.77,0.6,1.3,36.92,63.08,10.66,10.66,18.03,11.48,9.02,30.33,9.84,78.7,21.32,0.62,1.22,39.35,60.67
11.36,10.61,15.15,10.61,12.12,28.79,11.36,78.03,21.97,0.63,1.32,37.12,62.88,12.78,12.03,16.54,11.28,11.28,25.56,10.53,78.19,21.81,0.7,1.33,41.35,58.65
11.94,10.45,17.16,8.21,12.69,26.87,12.69,79.11,20.9,0.64,1.34,39.55,60.46,12.03,12.03,16.54,11.28,12.03,27.82,8.27,80.45,19.55,0.69,1.33,40.6,59.4
8.57,10.71,15.71,11.43,12.14,27.86,13.57,74.99,25.0,0.65,1.4,34.99,65.0,12.59,11.11,15.56,12.59,8.89,27.41,11.85,75.56,24.44,0.7,1.35,39.26,60.74
13.58,8.64,12.35,12.35,14.81,24.07,14.2,73.45,26.55,0.76,1.62,34.57,65.43,11.26,9.93,15.89,12.58,14.57,22.52,13.25,74.17,25.83,0.75,1.51,37.08,62.92
19.44,11.11,11.81,9.72,13.19,24.31,10.42,79.86,20.14,0.75,1.44,42.36,57.64,14.91,9.94,14.29,14.29,17.39,20.5,8.7,77.03,22.99,0.86,1.61,39.14,60.88
13.74,9.92,16.79,9.92,9.92,26.72,12.98,77.09,22.9,0.66,1.31,40.45,59.54,14.07,10.37,15.56,11.11,13.33,25.93,9.63,79.26,20.74,0.69,1.35,40.0,60.0
12.98,9.92,16.03,11.45,10.69,28.24,10.69,77.86,22.14,0.66,1.31,38.93,61.07,9.92,10.69,16.03,12.98,12.98,25.95,11.45,75.57,24.43,0.65,1.31,36.64,63.36
9.68,10.48,18.55,10.48,9.68,29.84,11.29,78.23,21.77,0.61,1.24,38.71,61.29,11.11,11.9,17.46,11.11,9.52,28.57,10.32,78.56,21.43,0.65,1.26,40.47,59.52
9.45,11.02,17.32,9.45,11.81,29.92,11.02,79.52,20.47,0.6,1.27,37.79,62.2,9.76,13.01,17.07,11.38,9.76,29.27,9.76,78.87,21.14,0.63,1.23,39.84,60.17
10.94,10.16,14.84,10.16,11.72,29.69,12.5,77.35,22.66,0.59,1.28,35.94,64.07,11.9,11.9,18.25,11.11,11.11,25.4,10.32,78.56,21.43,0.67,1.26,42.05,57.94
11.02,10.24,14.96,11.02,12.6,28.35,11.81,77.17,22.83,0.6,1.27,36.22,63.78,11.63,12.4,17.05,12.4,10.85,24.81,10.85,76.74,23.25,0.69,1.29,41.08,58.91
11.85,9.63,17.04,8.89,14.07,26.67,11.85,79.26,20.74,0.64,1.35,38.52,61.48,12.21,11.45,16.03,11.45,12.21,27.48,9.16,79.38,20.61,0.67,1.31,39.69,60.3
11.54,9.23,16.15,8.46,13.08,30.77,10.77,80.77,19.23,0.59,1.3,36.92,63.08,14.62,11.54,16.15,12.31,11.54,25.38,8.46,79.23,20.77,0.71,1.3,42.31,57.69
14.37,8.75,13.75,10.0,21.88,23.12,8.12,81.87,18.12,0.75,1.6,36.87,63.12,11.64,10.96,16.44,9.59,15.75,24.66,10.96,79.45,20.55,0.71,1.46,39.04,60.96
11.9,10.12,10.12,15.48,20.24,20.24,11.9,72.62,27.38,0.8,1.68,32.14,67.86,21.21,9.09,13.33,7.88,12.12,20.61,15.76,76.36,23.64,0.85,1.65,43.63,56.37
14.55,9.09,12.73,13.33,16.36,23.03,10.91,75.76,24.24,0.82,1.65,36.37,63.63,20.0,8.82,11.18,11.76,14.12,21.18,12.94,75.3,24.7,0.88,1.7,40.0,60.0
14.57,8.61,13.25,8.61,16.56,26.49,11.92,79.48,20.53,0.68,1.51,36.43,63.58,17.88,9.93,15.23,11.92,14.57,21.85,8.61,79.46,20.53,0.83,1.51,43.04,56.95
