Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
35401,35409,35424,35441,35453,35591,35487,35351,35357,35371,35383,35401,35439,35441
35505,35513,35526,35543,35554,35688,35588,35453,35458,35470,35487,35505,35541,35543
35606,35614,35626,35644,35655,35791,35686,35554,35561,35575,35588,35606,35641,35644
35703,35710,35722,35742,35753,35891,35789,35655,35659,35673,35686,35703,35738,35742
35806,35813,35826,35845,35857,35993,35888,35753,35760,35775,35789,35806,35842,35845
35906,35914,35926,35947,35958,36102,35990,35857,35862,35876,35888,35906,35943,35947
36009,36019,36032,36050,36063,36215,36098,35958,35963,35977,35990,36009,36048,36050
36118,36130,36144,36162,36175,36328,36211,36063,36069,36085,36098,36118,36160,36162
36232,36246,36259,36277,36291,36444,36328,36175,36181,36197,36211,36232,36276,36277
36345,36353,36368,36385,36404,36554,36442,36291,36298,36311,36328,36345,36387,36385
36458,36470,36486,36499,36515,36654,36551,36404,36416,36429,36442,36458,36501,36499
36570,36578,36591,36607,36620,36756,36653,36515,36524,36538,36551,36570,36606,36607
36670,36677,36691,36709,36721,36855,36754,36620,36625,36638,36653,36670,36707,36709
36771,36777,36790,36808,36820,36958,36853,36721,36727,36741,36754,36771,36806,36808
36870,36877,36890,36909,36920,37061,36955,36820,36826,36840,36853,36870,36906,36909
36974,36979,36995,37017,37024,37163,37060,36920,36928,36942,36955,36974,37010,37017
37076,37086,37097,37117,37128,37268,37163,37024,37033,37046,37060,37076,37113,37117
37179,37186,37200,37223,37230,37373,37265,37128,37134,37147,37163,37179,37216,37223
37283,37291,37304,37322,37335,37476,37369,37230,37237,37252,37265,37283,37320,37322
37389,37398,37411,37428,37441,37576,37475,37335,37342,37357,37369,37389,37427,37428
37491,37499,37512,37529,37539,37679,37574,37441,37446,37461,37475,37491,37526,37529
37591,37599,37612,37630,37641,37786,37677,37539,37546,37560,37574,37591,37627,37630
37695,37705,37719,37736,37748,37889,37783,37641,37649,37663,37677,37695,37734,37736
37801,37809,37822,37840,37853,37989,37887,37748,37756,37770,37783,37801,37838,37840
37905,37913,37927,37943,37955,38090,37988,37853,37859,37873,37887,37905,37942,37943
38004,38014,38026,38043,38055,38184,38088,37955,37960,37973,37988,38004,38041,38043
38103,38112,38126,38142,38152,38275,38185,38055,38063,38076,38088,38103,38140,38142
38199,38203,38217,38231,38243,38365,38273,38152,38156,38168,38185,38199,38231,38231
38289,38292,38305,38321,38332,38457,38364,38243,38247,38260,38273,38289,38319,38321
38379,38384,38397,38417,38423,38549,38457,38332,38336,38350,38364,38379,38411,38417
38471,38475,38489,38505,38516,38643,38550,38423,38428,38442,38457,38471,38503,38505
38563,38568,38581,38597,38609,38739,38640,38516,38521,38535,38550,38563,38596,38597
38658,38665,38679,38695,38706,38832,38742,38609,38613,38628,38640,38658,38693,38695
38753,38760,38775,38788,38801,38934,38833,38706,38710,38725,38742,38753,38789,38788
38845,38850,38866,38877,38900,39024,38932,38801,38807,38818,38833,38845,38884,38877
38949,38956,38969,38982,38994,39110,39027,38900,38907,38919,38932,38949,38982,38982
39038,39041,39055,39069,39079,39199,39108,38994,38998,39010,39027,39038,39068,39069
39124,39128,39142,39157,39169,39291,39197,39079,39083,39096,39108,39124,39156,39157
39214,39220,39233,39248,39259,39378,39292,39169,39170,39184,39197,39214,39247,39248
39305,39306,39320,39333,39347,39469,39377,39259,39263,39276,39292,39305,39334,39333
39392,39396,39408,39425,39436,39560,39468,39347,39352,39364,39377,39392,39423,39425
39482,39484,39499,39514,39526,39655,39559,39436,39441,39455,39468,39482,39513,39514
39575,39578,39591,39608,39620,39747,39653,39526,39531,39545,39559,39575,39606,39608
39669,39675,39688,39703,39714,39840,39746,39620,39625,39640,39653,39669,39702,39703
39761,39767,39780,39796,39807,39935,39839,39714,39718,39732,39746,39761,39794,39796
39855,39861,39874,39891,39903,40027,39932,39807,39811,39825,39839,39855,39889,39891
39949,39953,39966,39983,39994,40122,40025,39903,39905,39920,39932,39949,39981,39983
40042,40047,40061,40077,40088,40214,40119,39994,39998,40012,40025,40042,40075,40077
40136,40141,40153,40173,40183,40308,40214,40088,40093,40107,40119,40136,40169,40173
40228,40234,40247,40262,40274,40403,40307,40183,40186,40199,40214,40228,40261,40262
40322,40328,40341,40354,40369,40500,40401,40274,40278,40293,40307,40322,40356,40354
40417,40423,40437,40458,40465,40597,40498,40369,40374,40388,40401,40417,40452,40458
40514,40520,40532,40550,40562,40693,40593,40465,40471,40486,40498,40514,40548,40550
40612,40621,40634,40650,40662,40792,40691,40562,40567,40581,40593,40612,40649,40650
40708,40715,40728,40746,40759,40894,40788,40662,40665,40678,40691,40708,40744,40746
40807,40816,40829,40847,40859,40993,40891,40759,40762,40776,40788,40807,40845,40847
40908,40917,40931,40949,40959,41087,40991,40859,40865,40879,40891,40908,40946,40949
41007,41016,41030,41042,41056,41189,41088,40959,40965,40979,40991,41007,41044,41042
41101,41109,41126,41140,41155,41284,41188,41056,41062,41072,41088,41101,41141,41140
41204,41211,41225,41236,41251,41380,41281,41155,41162,41174,41188,41204,41239,41236
41298,41303,41316,41337,41346,41473,41379,41251,41255,41270,41281,41298,41332,41337
41394,41399,41412,41431,41442,41569,41474,41346,41351,41365,41379,41394,41428,41431
41487,41493,41506,41525,41535,41663,41566,41442,41446,41459,41474,41487,41521,41525
41584,41587,41600,41616,41629,41758,41662,41535,41541,41554,41566,41584,41615,41616
41677,41684,41698,41713,41726,41854,41756,41629,41634,41648,41662,41677,41713,41713
41773,41779,41792,41810,41821,41950,41854,41726,41729,41743,41756,41773,41807,41810
41868,41873,41887,41905,41917,42050,41949,41821,41826,41840,41854,41868,41903,41905
41965,41972,41985,42004,42015,42146,42048,41917,41922,41935,41949,41965,42001,42004
42065,42071,42083,42101,42112,42241,42144,42015,42021,42034,42048,42065,42098,42101
42160,42165,42178,42188,42206,42339,42241,42112,42117,42131,42144,42160,42193,42188
42256,42262,42275,42292,42303,42434,42337,42206,42212,42225,42241,42256,42290,42292
42353,42357,42372,42390,42400,42525,42433,42303,42310,42324,42337,42353,42387,42390
42448,42451,42465,42480,42491,42621,42524,42400,42405,42419,42433,42448,42479,42480
42539,42545,42558,42578,42586,42717,42620,42491,42497,42510,42524,42539,42573,42578
42636,42641,42655,42673,42683,42811,42714,42586,42592,42606,42620,42636,42670,42673
42731,42736,42750,42766,42777,42907,42813,42683,42688,42702,42714,42731,42764,42766
42826,42831,42845,42857,42873,43003,42905,42777,42782,42795,42813,42826,42860,42857
42922,42927,42941,42958,42970,43098,43003,42873,42877,42891,42905,42922,42956,42958
43017,43022,43034,43051,43062,43198,43103,42970,42975,42989,43003,43017,43049,43051
43113,43120,43133,43151,43164,43295,43195,43062,43068,43082,43103,43113,43149,43151
43213,43218,43232,43249,43262,43392,43298,43164,43168,43182,43195,43213,43248,43249
43309,43315,43332,43344,43362,43493,43394,43262,43268,43281,43298,43309,43348,43344
43407,43413,43429,43443,43457,43586,43492,43362,43366,43377,43394,43407,43444,43443
43508,43512,43526,43541,43553,43675,43589,43457,43464,43477,43492,43508,43540,43541
43600,43604,43617,43633,43646,43766,43675,43553,43557,43571,43589,43600,43632,43633
43689,43694,43707,43728,43734,43860,43767,43646,43647,43661,43675,43689,43721,43728
43782,43786,43799,43815,43826,43954,43861,43734,43738,43750,43767,43782,43813,43815
43874,43880,43894,43908,43919,44047,43954,43826,43830,43845,43861,43874,43907,43908
43969,43973,43986,44002,44014,44142,44048,43919,43925,43938,43954,43969,44001,44002
44063,44069,44081,44098,44109,44237,44142,44014,44018,44031,44048,44063,44096,44098
44157,44163,44176,44193,44204,44332,44235,44109,44114,44127,44142,44157,44191,44193
