R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
6.42,11.01,21.1,10.09,6.42,33.03,11.93,77.98,22.02,0.53,1.09,38.53,61.47,6.54,12.15,21.5,12.15,6.54,31.78,9.35,78.51,21.5,0.56,1.07,40.19,59.82
6.67,10.48,21.9,9.52,4.76,35.24,11.43,79.05,20.95,0.51,1.05,39.05,60.95,4.76,12.38,22.86,11.43,7.62,31.43,9.52,79.05,20.95,0.54,1.05,40.0,60.0
7.69,8.65,23.08,9.62,3.85,35.58,11.54,78.85,21.16,0.51,1.04,39.42,60.59,3.92,12.75,23.53,11.76,5.88,32.35,9.8,78.43,21.56,0.53,1.02,40.2,59.79
5.83,9.71,22.33,9.71,4.85,35.92,11.65,78.64,21.36,0.49,1.03,37.87,62.13,4.76,11.43,23.81,11.43,6.67,31.43,10.48,78.1,21.91,0.54,1.05,40.0,60.01
6.6,9.43,21.7,10.38,4.72,34.91,12.26,77.36,22.64,0.51,1.06,37.73,62.27,4.67,13.08,21.5,12.15,6.54,31.78,10.28,77.57,22.43,0.55,1.07,39.25,60.75
6.54,9.35,22.43,10.28,4.67,35.51,11.21,78.5,21.49,0.52,1.07,38.32,61.67,4.72,13.21,22.64,11.32,5.66,33.02,9.43,79.25,20.75,0.55,1.06,40.57,59.43
5.83,10.68,23.3,9.71,2.91,35.92,11.65,78.64,21.36,0.51,1.03,39.81,60.19,2.86,12.38,22.86,11.43,7.62,32.38,10.48,78.1,21.91,0.52,1.05,38.1,61.91
7.27,9.09,21.82,10.0,5.45,34.55,11.82,78.18,21.82,0.53,1.1,38.18,61.82,5.31,11.5,22.12,11.5,7.08,27.43,15.04,73.44,26.54,0.57,1.13,38.93,61.05
6.78,9.32,16.95,14.41,7.63,27.97,16.95,68.65,31.36,0.56,1.18,33.05,66.96,7.69,11.97,16.24,17.09,7.69,29.91,9.4,73.5,26.49,0.62,1.17,35.9,64.09
8.33,11.11,21.3,10.19,5.56,30.56,12.96,76.86,23.15,0.55,1.08,40.74,59.27,5.66,13.21,17.92,13.21,7.55,32.08,10.38,76.42,23.59,0.53,1.06,36.79,63.22
7.27,9.09,21.82,10.0,5.45,35.45,10.91,79.08,20.91,0.53,1.1,38.18,61.81,5.61,14.02,22.43,11.21,6.54,30.84,9.35,79.44,20.56,0.57,1.07,42.06,57.94
6.73,9.62,22.12,9.62,3.85,34.62,13.46,76.94,23.08,0.5,1.04,38.47,61.55,3.85,13.46,21.15,13.46,5.77,31.73,10.58,75.96,24.04,0.54,1.04,38.46,61.54
5.77,9.62,22.12,10.58,3.85,35.58,12.5,76.94,23.08,0.5,1.04,37.51,62.51,3.81,13.33,21.9,12.38,6.67,32.38,9.52,78.09,21.9,0.54,1.05,39.04,60.95
6.6,9.43,22.64,9.43,2.83,36.79,12.26,78.29,21.69,0.51,1.06,38.67,61.31,2.86,13.33,23.81,12.38,5.71,32.38,9.52,78.09,21.9,0.55,1.05,40.0,59.99
5.71,10.48,21.9,9.52,4.76,34.29,13.33,77.14,22.85,0.5,1.05,38.09,61.9,4.72,13.21,20.75,13.21,6.6,31.13,10.38,76.41,23.59,0.55,1.06,38.68,61.32
6.6,9.43,21.7,10.38,5.66,33.02,13.21,76.41,23.59,0.51,1.06,37.73,62.27,5.56,12.96,19.44,12.96,7.41,31.48,10.19,76.85,23.15,0.55,1.08,37.96,62.04
7.14,8.93,21.43,9.82,6.25,33.04,13.39,76.79,23.21,0.53,1.12,37.5,62.5,6.14,13.16,19.3,13.16,8.77,28.95,10.53,76.32,23.69,0.59,1.14,38.6,61.41
8.4,9.24,18.49,10.08,9.24,28.57,15.97,73.94,26.05,0.55,1.19,36.13,63.86,9.17,12.5,15.83,15.83,7.5,29.17,10.0,74.17,25.83,0.64,1.2,37.5,62.5
8.11,10.81,20.72,10.81,5.41,32.43,11.71,77.48,22.52,0.56,1.11,39.64,60.36,5.61,13.08,20.56,12.15,7.48,30.84,10.28,77.57,22.43,0.55,1.07,39.25,60.75
7.55,9.43,21.7,10.38,4.72,34.91,11.32,78.31,21.7,0.52,1.06,38.68,61.33,4.81,13.46,22.12,11.54,5.77,32.69,9.62,78.85,21.16,0.54,1.04,40.39,59.62
5.77,9.62,23.08,9.62,3.85,34.62,13.46,76.94,23.08,0.5,1.04,38.47,61.55,3.81,12.38,21.9,13.33,7.62,31.43,9.52,77.14,22.85,0.54,1.05,38.09,61.9
7.62,9.52,21.9,9.52,1.9,38.1,11.43,79.04,20.95,0.51,1.05,39.04,60.95,1.92,14.42,24.04,11.54,6.73,28.85,12.5,75.96,24.04,0.54,1.04,40.38,59.62
6.73,9.62,19.23,12.5,3.85,36.54,11.54,75.97,24.04,0.5,1.04,35.58,64.43,3.77,12.26,23.58,11.32,6.6,32.08,10.38,78.29,21.7,0.54,1.06,39.61,60.38
6.48,9.26,22.22,10.19,5.56,35.19,11.11,78.71,21.3,0.52,1.08,37.96,62.05,5.61,12.15,23.36,11.21,7.48,30.84,9.35,79.44,20.56,0.56,1.07,41.12,58.88
7.55,9.43,21.7,9.43,4.72,33.96,13.21,77.36,22.64,0.51,1.06,38.68,61.32,4.55,10.91,21.82,12.73,7.27,31.82,10.91,76.37,23.64,0.55,1.1,37.28,62.73
7.08,9.73,21.24,10.62,5.31,34.51,11.5,77.87,22.12,0.55,1.13,38.05,61.94,5.26,11.4,22.81,11.4,7.02,29.82,12.28,76.31,23.68,0.58,1.14,39.47,60.52
6.9,8.62,20.69,12.07,6.03,29.31,16.38,71.55,28.45,0.56,1.16,36.21,63.79,6.09,12.17,17.39,16.52,8.7,29.57,9.57,73.92,26.09,0.6,1.15,35.65,64.36
9.01,10.81,19.82,9.91,6.31,32.43,11.71,78.38,21.62,0.55,1.11,39.64,60.36,6.54,12.15,21.5,12.15,6.54,32.71,8.41,79.44,20.56,0.56,1.07,40.19,59.81
6.6,10.38,22.64,8.49,4.72,35.85,11.32,80.19,19.81,0.51,1.06,39.62,60.38,4.76,13.33,22.86,11.43,6.67,32.38,8.57,80.0,20.0,0.55,1.05,40.95,59.05
6.67,9.52,22.86,8.57,3.81,36.19,12.38,79.05,20.95,0.5,1.05,39.05,60.95,3.81,14.29,21.9,12.38,5.71,31.43,10.48,77.14,22.86,0.55,1.05,40.0,60.0
5.66,9.43,21.7,10.38,4.72,34.91,13.21,76.42,23.59,0.5,1.06,36.79,63.22,4.63,12.96,21.3,12.96,6.48,31.48,10.19,76.85,23.15,0.56,1.08,38.89,61.11
